"name","category"
"Gemcitabine","chemotherapy"
"Cyclophosphamide","chemotherapy"
"Oxaliplatin","chemotherapy"
"Carboplatin","chemotherapy"
"Cisplatin","chemotherapy"
"Methotrexate","chemotherapy"
"Mitomycin","chemotherapy"
"Irinotecan","chemotherapy"
"Topotecan","chemotherapy"
"Vinorelbine","chemotherapy"
"Vinblastine","chemotherapy"
"Vincristine","chemotherapy"
"Dactinomycin","chemotherapy"
"Docetaxel","chemotherapy"
"Paclitaxel","chemotherapy"
"Trabectedin","chemotherapy"
"Etoposide","chemotherapy"
"Melphalan","chemotherapy"
"Pemetrexed","chemotherapy"
"Ifosfamide","chemotherapy"
"Temozolomide","chemotherapy"
"Bleomycin","chemotherapy"
"Mitoxantrone","chemotherapy"
"Eribulin","chemotherapy"
"Dacarbazine","chemotherapy"
"Doxorubicin","chemotherapy"
"Epirubicin","chemotherapy"
"Vemurafenib","immunotherapy"
"Lenvatinib","immunotherapy"
"Vandetanib","immunotherapy"
"Dabrafenib","immunotherapy"
"Imatinib-mesylate","immunotherapy"
"Olaparib","immunotherapy"
"Axitinib","immunotherapy"
"Copanlisib","immunotherapy"
"Alectinib","immunotherapy"
"Goserelin","immunotherapy"
"Veliparib","immunotherapy"
"Anastrozole","immunotherapy"
"Selpercatinib","immunotherapy"
"Octreotide","immunotherapy"
"Ruxolitinib","immunotherapy"
"Zig-Aflibercept","immunotherapy"
"Regorafenib","immunotherapy"
"Nintedanib","immunotherapy"
"Bortezomib","immunotherapy"
"Rapamycin","immunotherapy"
"Sunitinib","immunotherapy"
"Afatinib","immunotherapy"
"Idelalisib","immunotherapy"
"Ceritinib","immunotherapy"
"Cobimetinib","immunotherapy"
"Dasatinib","immunotherapy"
"Acalabrutinib","immunotherapy"
"Tucatinib","immunotherapy"
"Trametinib","immunotherapy"
"Fulvestrant","immunotherapy"
"Lorlatinib","immunotherapy"
"Crizotinib","immunotherapy"
"Abiraterone","immunotherapy"
"Pazopanib","immunotherapy"
"Ribociclib","immunotherapy"
"Metformin","immunotherapy"
"Tepotinib","immunotherapy"
"Exemestane","immunotherapy"
"Erlotinib","immunotherapy"
"Fedratinib","immunotherapy"
"Nilotinib","immunotherapy"
"Pralsetinib","immunotherapy"
"Palbociclib","immunotherapy"
"Alpelisib","immunotherapy"
"Niraparib","immunotherapy"
"Semaxanib","immunotherapy"
"Gefitinib","immunotherapy"
"Abemaciclib","immunotherapy"
"Selinexor","immunotherapy"
"Vorinostat","immunotherapy"
"Ibrutinib","immunotherapy"
"5-Fluorouracil","chemotherapy"
"Avapritinib","immunotherapy"
"Everolimus","immunotherapy"
"Bosutinib","immunotherapy"
"Capmatinib","immunotherapy"
"Leprolide","immunotherapy"
"Zanubrutinib","immunotherapy"
"Ponatinib","immunotherapy"
"Osimertinib","immunotherapy"
"Lapatinib","immunotherapy"
"Tamoxifen","immunotherapy"
"Sorafenib","immunotherapy"
"Curcumin","natural_agent"
"Resveratrol","natural_agent"
"Artemisinin","natural_agent"
"Quercetin","natural_agent"
"EGCG","natural_agent"
"Melatonin","natural_agent"
"Methylene Blue","natural_agent"
"Sodium Phenyl Butyrate","natural_agent"
"Semaglutide","natural_agent"
"Ascorbic Acid","natural_agent"
"Alpha Lipoic Acid","natural_agent"
"Nivolumab","immunotherapy"
"Avelumab","immunotherapy"
"Tisotumab vedotin","immunotherapy"
"Zanidatamab","immunotherapy"
"Enfortumab vedotin","immunotherapy"
"Durvalumab","immunotherapy"
"Elotuzumab","immunotherapy"
"Daratumumab","immunotherapy"
"Atezolizumab","immunotherapy"
"Ipilimumab","immunotherapy"
"Trastuzumab deruxtecan","immunotherapy"
"Rituximab","immunotherapy"
"Denosumab","immunotherapy"
"Margetuximab","immunotherapy"
"Panitumumab","immunotherapy"
"Trastuzumab","immunotherapy"
"Ofatumumab","immunotherapy"
"Brentuximab vedotin","immunotherapy"
"Pertuzumab","immunotherapy"
"Belantamab mafodotin","immunotherapy"
"Obinutuzumab","immunotherapy"
"Isatuximab","immunotherapy"
"Bevacizumab","immunotherapy"
"Alemtuzumab","immunotherapy"
"Pembrolizumab","immunotherapy"
"Cetuximab","immunotherapy"
"Ramucirumab","immunotherapy"
"Ibritumomab tiuxetan","immunotherapy"
"Gemtuzumab ozogamicin","immunotherapy"
"NTC","natural_agent"
"Capecitabine","chemotherapy"
"Temsirolimus","immunotherapy"
